User_ID,Account_Age_Days,Number_of_Friends,Privacy_Settings_Level,Unauthorized_Access_Attempts,Phishing_Attempt_Reports,Compromised_Account_Incidents,Uses_Strong_Password,Multi_Factor_Authentication_Enabled,Frequent_Password_Changes,Operating_System_Updated,Antivirus_Installed,Device_Used,Login_Locations,Unusual_Login_Alerts,Clicks_on_Suspicious_Links,Engagement_with_Unknown_Users,Personal_Information_Shared_Publicly,Data_Breach_Impact,Financial_Loss_Incurred,Reputation_Damage_Level
U001,501,4549,Public,2,5,0,Yes,No,Yes,Yes,Yes,Desktop,Office,Yes,No,Yes,Yes,Medium,555,Low
U002,2317,3544,Private,7,0,2,No,Yes,Yes,Yes,No,Mobile,Multiple Locations,No,Yes,Yes,No,Low,8060,Medium
U003,1605,2065,Public,9,3,1,Yes,No,Yes,Yes,Yes,Mobile,Home,No,No,Yes,No,High,2294,High
U004,2531,2582,Private,3,4,0,No,Yes,Yes,No,Yes,Mobile,Multiple Locations,No,No,Yes,Yes,Medium,4164,Low
U005,3487,2643,Public,4,1,1,No,Yes,No,Yes,No,Desktop,Multiple Locations,No,No,No,Yes,High,4380,High
U006,312,1256,Public,0,2,2,No,Yes,Yes,Yes,Yes,Mobile,Home,Yes,Yes,No,Yes,Low,1241,High
U007,2239,3355,Private,3,0,0,No,No,Yes,Yes,No,Desktop,Office,Yes,Yes,Yes,Yes,Medium,5919,Medium
U008,296,3168,Private,0,1,0,Yes,No,Yes,No,Yes,Desktop,Office,Yes,No,No,No,Medium,2375,Medium
U009,2870,4071,Custom,10,0,0,No,Yes,No,No,No,Desktop,Multiple Locations,No,No,No,Yes,Medium,8484,Medium
U010,1610,4302,Custom,7,3,1,Yes,No,Yes,Yes,No,Desktop,Office,Yes,No,Yes,No,High,4,Medium
U011,1320,1856,Custom,4,3,2,Yes,No,Yes,No,Yes,Desktop,Multiple Locations,Yes,Yes,No,No,Medium,9678,High
U012,1639,4699,Public,6,5,2,No,Yes,No,No,Yes,Desktop,Home,No,Yes,Yes,No,Medium,8334,Low
U013,3477,717,Custom,10,2,3,No,Yes,No,Yes,No,Desktop,Home,No,Yes,No,Yes,Low,8141,High
U014,2710,1376,Private,2,5,3,No,Yes,Yes,Yes,Yes,Mobile,Office,No,Yes,No,No,High,6335,High
U015,2848,1574,Custom,3,0,0,Yes,No,Yes,No,Yes,Desktop,Office,No,No,No,No,Low,6933,High
U016,3356,2241,Public,2,1,1,Yes,Yes,Yes,No,No,Desktop,Office,No,Yes,Yes,No,High,5402,High
U017,895,4371,Custom,9,2,1,No,Yes,Yes,No,Yes,Mobile,Office,Yes,Yes,No,No,High,7229,Medium
U018,1820,4456,Public,1,3,3,Yes,No,Yes,Yes,Yes,Mobile,Office,No,No,Yes,No,High,9507,High
U019,152,799,Custom,7,1,0,Yes,No,No,Yes,No,Mobile,Office,No,Yes,Yes,No,Low,5451,Medium
U020,616,1893,Public,4,4,3,Yes,No,Yes,Yes,No,Mobile,Multiple Locations,No,Yes,Yes,Yes,Medium,7701,Low
U021,3054,3838,Private,10,2,0,Yes,No,No,No,No,Desktop,Office,No,Yes,No,No,High,6588,Low
U022,2230,456,Private,7,2,2,Yes,No,No,No,Yes,Mobile,Multiple Locations,No,Yes,Yes,Yes,Low,6605,Medium
U023,2861,2698,Custom,9,2,2,No,No,Yes,No,Yes,Desktop,Office,No,Yes,Yes,No,Medium,7783,High
U024,1303,4161,Custom,0,5,2,Yes,No,No,Yes,No,Mobile,Home,Yes,No,Yes,Yes,High,12,Low
U025,3146,1482,Public,0,2,1,Yes,Yes,No,Yes,No,Mobile,Home,No,No,Yes,No,Low,6932,High
U026,1900,3142,Private,4,5,1,Yes,Yes,No,No,No,Mobile,Multiple Locations,No,No,No,No,Medium,9393,Low
U027,255,142,Custom,2,3,1,Yes,Yes,No,No,Yes,Desktop,Multiple Locations,Yes,No,No,Yes,High,297,Low
U028,415,3910,Private,5,0,2,No,Yes,No,No,Yes,Mobile,Office,No,Yes,No,No,Medium,2201,Low
U029,2050,2208,Custom,10,3,0,No,No,No,Yes,No,Mobile,Multiple Locations,Yes,No,Yes,No,Medium,8526,High
U030,3614,4581,Custom,5,4,3,No,Yes,Yes,No,Yes,Mobile,Multiple Locations,Yes,Yes,Yes,Yes,Low,5668,High
U031,1032,1929,Private,5,1,0,Yes,Yes,No,Yes,No,Desktop,Multiple Locations,Yes,No,Yes,Yes,High,3666,Low
U032,1935,4862,Private,5,1,0,Yes,No,No,Yes,No,Desktop,Home,Yes,Yes,No,No,High,2577,High
U033,2557,4468,Public,8,4,1,No,No,No,No,Yes,Mobile,Office,No,Yes,No,No,Medium,3717,High
